"categories","name","address","city","tel","fax","link","lat","lng"
"31","Triskalia NOYAL PONTIVY","La Ville Neuve Tranlé","56920 NOYAL PONTIVY","Téléphone : 02.97.39.86.36","Fax : 02.97.27.38.13","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-noyal-pontivy/","48.0285695","-2.915676299999973"
"31","Triskalia NIVILLAC","Z.A. des Métairies","56130 NIVILLAC","Téléphone : 02.90.99.58.31","Fax : 02.99.90.81.00","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-nivillac/","47.5208275","-2.2858631999999943"
"31","Triskalia MUR DE BRETAGNE","Pont quémer","22530 MUR DE BRETAGNE","Téléphone : 02.96.28.51.39","Fax : 02.96.26.30.40","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-mur-de-bretagne/","48.2114336","-2.988591000000042"
"31","Triskalia MOREAC","Le Barderff","56500 MOREAC","Téléphone : 02.97.44.29.81.","Fax : 02.97.44.29.89.","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-moreac/","47.9048658","-2.7953350000000228"
"31","Triskalia MONTREUIL SUR ILE","ZA du Stand","35440 MONTREUIL S/ILLE","Téléphone : 02.99.69.73.79","Fax : 02.99.69.79.48","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-montreuil-ile/","48.304523","-1.681583000000046"
"31","Triskalia MISSIRIAC","La Pointe","56140 MISSIRIAC","Téléphone : 02.97.75.15.24","Fax : 02.97.75.14.99","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-missiriac/","47.837694","-2.348786"
"31","Triskalia MILIZAC","Bel Air","29290 MILIZAC","Téléphone : 02.98.07.90.86","Fax : 02.98.07.99.48","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-milizac/","48.462424","-4.579502"
"31","Triskalia METAIRIE NEUVE","La Métairie Neuve","29270 CARHAIX","Téléphone : 02.98.93.18.97","Fax : 02.98.93.79.73","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-metairie-neuve/","48.268659","-3.567984"
"31","Triskalia MENEAC","Bourg","56490 MENEAC","Téléphone : 02.97.93.30.13","Fax : 02.97.93.31.22","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-meneac/","48.140833","-2.459022"
"31","Triskalia MAEL CARHAIX","Bourg","22340 MAEL CARHAIX","Téléphone : 02.96.24.62.95","Fax : 02.96.24.68.02","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-mael-carhaix/","48.284827","-3.420979"
"31","Triskalia LOUDEAC","ZI Monplaisir","22600 LOUDEAC","Téléphone : 02.96.28.12.40","Fax : 02.96.66.01.92","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-loudeac/","48.166364","-2.762607"
"31","Triskalia LOUARGAT","Z.A. Pors Diouris","22540 LOUARGAT","Téléphone : 02.96.43.12.74","Fax : 02.96.43.52.37","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-louargat/","48.564951","-3.347936"
"31","Triskalia LOCUNOLE","Rosgodec","29310 LOCUNOLE","Téléphone : 02.98.71.33.36","Fax : 02.98.71.41.81","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-locunole/","47.939136","-3.508608"
"31","Triskalia LANOUEE","Le Poteau","56120 LANOUEE","Téléphone : 02.97.22.22.26","Fax : 02.97.70.26.27","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-lanouee/","47.956108","-2.567674"
"31","Triskalia LANNION","Z.A. de Buhulien","22300 LANNION","Téléphone : 02.96.14.15.15","Fax : 02.96.14.11.11","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-lannion/","48.7345","-3.443446"
