"|","|__address","|__anim","|__category","|__desc","|__icon","|__infoopen","|__lat","|__linkd","|__lng","|__map_id","|__marker_id","|__other_data__-","|__pic","|__retina","|__title"
"76","ROUTE DE GUILLEMONT 80360 LONGUEVAL","0","1","<div><u>Type :</u> Collecte<br /><u>Téléphone :</u> 07 85 81 58 16<br /><u>Responsable de site :</u> LUDOVIC LANQUE</div>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","50.0225786","","2.811435","1","76","","","0","LONGUEVAL"
"77","ROUTE DE ROSIERES 80131 HARBONNIERES","0","1","<p><u>Type :</u> Collecte<br /><u>Téléphone :</u> 06 81 87 58 37-03 22 84 91 01<br /><u>Responsable de site :</u> FRANCOIS WASSELIN</p>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","49.844015","","2.672993","1","77","0","","0","HARBONNIERES"
"78","RUE BAPTISTE MARCET 80340 BRAY SUR SOMME","0","1","<p><u>Type :</u> Collecte<br /><u>Téléphone :</u> 06 80 72 54 65- 03 22 84 91 01<br /><u>Responsable de site :</u> FRANCOIS WASSELIN</p>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","49.946746","","2.716883","1","78","0","","0","BRAY SUR SOMME"
"79","13 RUE DE CROISILLES 62217 NEUVILLE VITASSE","0","1","<p><u>Type :</u> Collecte<br /><u>Téléphone :</u> 06 42 04 56 23<br /><u>Responsable de site :</u> JEAN BENOIT ALLARD</p>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","50.2423403","","2.8230626","1","79","","","0","NEUVILLE VITASSE"
"8","RUE MARESQUEL 62870 GOUY SAINT ANDRE","0","2","<div><u>Type :</u> Appro / Collecte<br /><u>Téléphone :</u> 03 21 86 37 75<br /><u>Responsable de site :</u> FREDERIC GOBERT</div>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_appro.png","0","50.3757179","","1.9084408","1","8","","","0","GOUY SAINT ANDRE"
"80","MERCATEL","0","2","<p><u>Type :</u> Appro / Collecte<br /><u>Téléphone :</u> 03 21 59 99 22<br /><u>Responsable de site :</u> JEAN BENOIT ALLARD</p>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_appro.png","0","50.235168","","2.795223","1","80","0","","0","MERCATEL"
"81","FERME DE BAILLESCOURT 80300 MIRAUMONT","0","1","<p><u>Type :</u> Collecte<br /><u>Téléphone :</u> 03 21 48 20 20/06 71 10 85 77<br /><u>Responsable de site :</u> LUDOVIC PLANQUE</p>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","50.092945","","2.729975","1","81","0","","0","MIRAUMONT"
"83","6 RUE DES CLERCS 62450 VILLERS AU FLOS","0","1","<div><u>Type :</u> Collecte<br /><u>Téléphone :</u> 03 21 07 11 06<br /><u>Responsable de site :</u> M CARTON</div>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","50.0814637","","2.9009057","1","83","","","0","VILLERS AU FLOS"
"84","ROUTE D'ACHIET 62450 BIEFVILLERS LES BAPAUME","0","1","<div class=""gm-style-iw""><div><div><div><div><u>Type :</u> Collecte<br /><u>Téléphone :</u> 06 81 87 74 84<br /><u>Responsable de site :</u> JEAN MARIE LEROY</div></div></div></div></div>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","50.1077931","","2.8368672","1","84","","","0","BIEFVILLERS LES BAPAUME"
"85","02380 JUMENCOURT","0","1","<p><u>Type :</u> Collecte<br /><u>Téléphone :</u> 06 25 24 26 77<br /><u>Responsable de site :</u> LUC MARTIN</p>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","49.509164","","3.354044","1","85","0","","0","JUMENCOURT"
"86","49.91570285256933, 3.278222680091858","0","2","<p><u>Type :</u> Appro / Collecte</p><p>rue Maurice Thorez<br /><u>Téléphone :</u> 03 23 66 45 93<br /><u>Responsable de site :</u> THIBAUT LESAGE</p>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_appro.png","0","49.915703","","3.278223","1","86","0","","0","LEHAUCOURT"
"87","49.974030101462034, 3.383966088294983","0","1","<p><u>Type :</u>  Collecte<br /><u>Téléphone :</u> 06 79 74 04 98<br /><u>Responsable de site :</u> GUILLAUME DOLLAY</p>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","49.9740301015","","3.3839660883","1","87","","","0","BRANCOURT LE GRAND"
"88","50.00378270058036, 3.542105108499527","0","1","<p><u>Type :</u> Collecte<br /><u>Téléphone :</u> 03 22 66 45 93-06 07 45 86 35<br /><u>Responsable de site :</u> THIBAUT LESAGE</p>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","50.003783","","3.542105","1","88","0","","0","ANDIGNY LES FERME"
"89","50.09570085682111, 3.4343114867806435","0","1","<p><u>Type :</u> Collecte<br /><u>Téléphone :</u> 06 73 01 38 76<br /><u>Responsable de site :</u> JEAN MARIE TONDEUR</p>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","50.0957008568","","3.4343114868","1","89","","","0","BERTRY"
"9","26 RUE DU MARAIS 62140 FRESSIN","0","2","<p><u>Type :</u> Appro / Collecte<br /><u>Téléphone :</u> 03 21 90 60 76<br /><u>Responsable de site :</u> NICOLAS GOMEL</p>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_appro.png","0","50.444706","","2.056275","1","9","0","","0","FRESSIN"
"90","50.064667808582286, 3.3395225554704666","0","1","<p><u>Type :</u> Appro / Collecte<br /><u>Téléphone :</u> 06 73 01 38 76 /ABBAYE DES GUILLEMINS<br /><u>Responsable de site :</u> JEAN MARIE TONDEUR</p>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","50.0646678086","","3.3395225555","1","90","","","0","WALINCOURT SELVIGNY"
"91","50.04276963847775, 2.946869283914566","0","1","<p class=""wpgmza_infowindow_address""> </p><div><u>Type :</u> Collecte<br /><u>Téléphone :</u> 06 81 87 39 61 / RTE DE FINS<br /><u>Responsable de site :</u> PHILIPPE COUVREUX</div>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","50.0427696385","","2.9468692839","1","91","","","0","MESNIL EN ARROURAISE"
"92","50.276136847033506, 3.03690567612648","0","1","<div><u>Type :</u> Collecte<br /><u>Téléphone :</u> 03 27 89 52 40<br /><u>Responsable de site :</u> JEAN FRANTZ</div><p> </p>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","50.276136847","","3.0369056761","1","92","","","0","LECLUSE"
"93","49.911124061697286, 3.014589697122574","0","1","<p class=""wpgmza_infowindow_address""> </p><div><u>Type :</u> Collecte<br /><u>Téléphone :</u> 06 30 15 28 45 / RUE DU POIRIER<br /><u>Responsable de site :</u> MATHIEU WARLOP</div><p><a id=""1"" class=""wpgmza_gd""></a>Itinéraire</p>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","49.9111240617","","3.0145896971","1","93","","","0","CARTIGNY"
"94","50.11609618621097, 3.2080963253974915","0","1","<p class=""wpgmza_infowindow_address""> </p><div><u>Type :</u> Collecte<br /><u>Téléphone :</u> 03 21 50 89 00<br /><u>Responsable de site :</u> FRANCOIS LELEU</div>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","50.1160961862","","3.2080963254","1","94","","","0","MASNIERES"
"95","50.577599061954054, 2.012474834918976","0","1","<p class=""wpgmza_infowindow_address""> </p><div><u>Type :</u> Collecte<br /><u>Téléphone :</u> 03 21 86 35 57<br /><u>Responsable de site :</u> BAPTISTE LECAILLE</div>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","50.577599062","","2.0124748349","1","95","","","0","RUMILLY"
"96","49.6201143951853,3.811500568664542","0","1","<p><u>Type :</u> Collecte<br /><u>Téléphone :</u> 06 98 95 42 53<br /><u>Responsable de site :</u> MARC WILLOT</p>","https://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","0","","0","1","96","0","","0","CHAOURSE"
"97","49.52413619412067,2.4862270054261444","0","1","<p><u>Type :</u> Collecte<br /><u>Téléphone :</u> 06 45 18 66 94- 06 48 26 57 17<br /><u>Responsable de site :</u> MARC THOMAS</p>","https://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","49.5241361941","","2.4862270054","1","97","","","0","MONTGERAIN"
